subDirectory_filePath,valence,arousal,expression,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
DiffusionEmotion_S_cropped/neutral/aksjlkjl_0.png,-0.1,0.1,neutral,0.4291497,0.36863947,0.5420912,0.35968962,0.1598235,1.0,0.50919616,0.1251944,0.0,0.3079708,0.29140073,0.18228081,0.4502254,0.0,0.38991693,0.20604375,0.110336654,0.06741561,0.29012668,0.43520737
DiffusionEmotion_S_cropped/neutral/aksndlkn_0.png,0.0,0.0,neutral,0.3516033,0.35952678,0.76588356,0.3117305,0.20708135,1.0,0.51094115,0.0030172938,0.0,0.2263462,0.40084004,0.25870502,0.5410475,1.0,0.46545228,0.35581824,0.31272128,0.109757036,0.44191486,0.8357179
DiffusionEmotion_S_cropped/neutral/anavqmjd_0.png,-0.1,-0.1,neutral,0.3816193,0.2890958,0.30317196,0.26509663,0.29379696,0.0,0.41955173,0.43065163,0.0,0.12504306,0.4165313,0.48991233,0.5473536,0.0,0.33390465,0.57912433,0.073613696,0.101035535,0.53115475,0.72256774
DiffusionEmotion_S_cropped/neutral/aovjrrax_0.png,-0.2,-0.1,neutral,0.30499303,0.36511847,0.06888412,0.4381527,0.109056115,0.0,0.1413211,5.5989687e-05,1.0,0.043666374,0.19259168,0.10742824,0.49111134,0.0,0.2062105,0.4082421,0.06458231,0.07950416,0.12001201,0.04944029
DiffusionEmotion_S_cropped/neutral/aptzlpuo_0.png,-0.1,-0.1,neutral,0.48751622,0.5152606,0.10063837,0.5377202,0.06494128,0.0,0.112601906,0.011470495,0.0,0.033559993,0.26362163,0.13325451,0.43582076,0.0,0.66527075,0.26752084,0.18096602,0.03810959,0.026693186,0.061524294
DiffusionEmotion_S_cropped/neutral/axelgnme_0.png,0.0,-0.1,neutral,0.28351107,0.19054693,0.18576881,0.3901328,0.54035324,0.0,0.4128213,0.0113759115,0.0,0.48850858,0.34471062,0.6131251,0.5828884,0.0,0.354186,0.3863576,0.35331327,0.14551742,0.44392315,0.11872687
DiffusionEmotion_S_cropped/neutral/aywskztb_0.png,0.0,0.0,neutral,0.26513532,0.19753954,0.20134963,0.27923897,0.11732579,1.0,0.35690963,0.021395074,0.0,0.3326265,0.57326126,0.44261193,0.43161765,0.0,0.7177722,0.4162018,0.20442198,0.094917156,0.6947753,0.40790662
DiffusionEmotion_S_cropped/neutral/balgskek_0.png,-0.1,-0.1,neutral,0.47183493,0.3911294,0.7120361,0.40307444,0.16986993,0.0,0.28765073,0.017760888,0.0,0.21992405,0.62340885,0.39911658,0.3903354,0.0,0.6859942,0.5180668,0.066544324,0.133667,0.124923244,0.09256655
DiffusionEmotion_S_cropped/neutral/bbuwxuqm_0.png,0.0,0.0,neutral,0.42972085,0.30574933,0.5115131,0.27936307,0.37997866,1.0,0.42430225,0.50169057,0.0,0.20001064,0.61262757,0.08967544,0.35523328,0.0,0.39273363,0.4904928,0.03117226,0.12651572,0.70412815,0.47042394
DiffusionEmotion_S_cropped/neutral/bddhbpcn_0.png,0.0,-0.1,neutral,0.4541848,0.32384735,0.33052707,0.29476753,0.22067665,0.0,0.35205775,0.05393281,0.0,0.09801179,0.25665498,0.15210526,0.5465746,0.0,0.3999409,0.20839113,0.43773142,0.2122185,0.59063697,0.5733245
DiffusionEmotion_S_cropped/neutral/bdvxomgy_0.png,0.0,0.0,neutral,0.38469797,0.2739864,0.26707265,0.34822488,0.11157991,1.0,0.25454867,0.47657996,1.0,0.061703242,0.5720686,0.45513046,0.4415173,0.0,0.372244,0.53461504,0.10167844,0.047610126,0.396062,0.17913698
DiffusionEmotion_S_cropped/neutral/behynpaa_0.png,0.0,0.0,neutral,0.29883173,0.24184142,0.27978837,0.3331402,0.21085438,1.0,0.36453998,0.0064567016,0.0,0.2531527,0.17404424,0.4858537,0.47101375,0.0,0.4857548,0.4532839,0.35376117,0.07499695,0.4200903,0.13392048
DiffusionEmotion_S_cropped/neutral/berwworh_0.png,-0.1,-0.1,neutral,0.49951386,0.3930657,0.116599225,0.42183307,0.14183953,0.0,0.119155414,0.05342614,0.0,0.047258373,0.29462075,0.29239896,0.46431223,0.0,0.44327056,0.72172004,0.018297492,0.048465073,0.6228149,0.048429694
DiffusionEmotion_S_cropped/neutral/bgasdkmy_0.png,0.0,0.0,neutral,0.4185893,0.3866033,0.43035403,0.3351927,0.26515982,1.0,0.4042779,0.77607703,0.0,0.26855758,0.28970185,0.3338824,0.3282,0.0,0.4498905,0.6287805,0.40438217,0.17864946,0.13293669,0.25550857
DiffusionEmotion_S_cropped/neutral/bgylubjt_0.png,0.0,0.0,neutral,0.3501411,0.23569438,0.5583204,0.28168866,0.25447288,1.0,0.39471546,0.08077168,1.0,0.12853578,0.3672888,0.24493453,0.42610458,0.0,0.48415142,0.5952057,0.018559866,0.20686264,0.4931449,0.41597155
DiffusionEmotion_S_cropped/neutral/bgyosaes_0.png,0.0,0.0,neutral,0.290496,0.15120314,0.24602497,0.27218148,0.5543218,0.0,0.46077186,0.9023759,0.0,0.52659744,0.5356532,0.7443942,0.6026865,0.0,0.3591415,0.60764575,0.3496838,0.16536495,0.35905224,0.32507816
